,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
1130,Pink Death Star,Indica,"aka Pink Death, Pink Star",4.5,45,THC 22%,CBG 1%,Sleepy,Pinene
1131,Dutch Treat Haze,Hybrid,NA,4.5,72,THC 21%,CBG 1%,Energetic,Terpinolene
1132,Lion's Mane,Hybrid,NA,4.0,17,THC 21%,CBG 1%,Tingly,Myrcene
1133,Lemon Zest,Sativa,NA,4.5,11,THC —,CBD —,Uplifted,
1134,Strawberry Ice,Sativa,NA,4.6,69,THC 19%,CBG 1%,Focused,Myrcene
1135,Snow Dog,Sativa,"aka Super Snow Dog, Snowdog",4.4,117,THC —,CBD —,Energetic,
1136,Cream Pie,Unknown,NA,4.8,16,THC —,CBD —,Euphoric,
1137,Indiana Bubble Gum,Hybrid,NA,4.7,12,THC 30%,CBG 1%,Uplifted,Myrcene
1138,DelaHaze,Sativa,aka Luminarium,4.5,112,THC 20%,CBG 2%,Energetic,Terpinolene
1139,Blue Dream CBD,Hybrid,NA,4.7,25,THC 17%,CBD 0%,Uplifted,Pinene
1140,Banjo,Hybrid,NA,4.2,45,THC 19%,CBD 0%,Tingly,Myrcene
1141,Blue Kush,Hybrid,NA,4.5,103,THC 17%,CBG 1%,Uplifted,Myrcene
1142,Blue Gotti,Hybrid,NA,4.5,4,THC —,CBD —,Hungry,
1143,Grape Cookies,Indica,NA,4.6,41,THC 17%,CBG 1%,Sleepy,Caryophyllene
1144,Gorilla Grapes,Hybrid,NA,4.7,73,THC 17%,CBD 0%,Happy,Myrcene
1145,Black Raspberry,Hybrid,NA,4.5,25,THC 18%,CBG 1%,Relaxed,Pinene
1147,Orange 43,Hybrid,NA,4.7,30,THC 18%,CBG 1%,Happy,Terpinolene
1148,Blucifer,Sativa,NA,4.2,24,THC 20%,CBD 0%,Uplifted,Caryophyllene
1149,Sun Cake,Hybrid,NA,4.7,11,THC 20%,CBG 1%,Tingly,Pinene
1150,Bob Saget,Sativa,aka The Bob,4.9,28,THC —,CBD —,Talkative,
1151,Strawberry Sherbet,Hybrid,NA,4.4,10,THC —,CBD —,Creative,
1152,Master OG,Hybrid,aka Master OG Kush,4.4,92,THC 21%,CBG 1%,Hungry,Limonene
1153,Red Eye OG,Indica,NA,4.3,44,THC 19%,CBD 0%,Sleepy,Myrcene
1154,Goo,Indica,NA,4.3,171,THC 17%,CBG 1%,Sleepy,Myrcene
1155,Falcon 9,Indica,NA,4.9,10,THC 16%,CBD 0%,Sleepy,Limonene
1156,Appalachia,Hybrid,NA,4.6,28,THC 21%,CBG 1%,Talkative,Caryophyllene
1157,Larry Cake,Hybrid,NA,4.8,13,THC —,CBD —,Euphoric,
1158,Morockin’ Kush,Hybrid,NA,4.3,19,THC —,CBD —,Hungry,
1159,Twisted Citrus,Sativa,NA,4.5,37,THC 19%,CBG 1%,Energetic,Terpinolene
1160,Monkey Bread #1,Indica,NA,4.3,3,THC 22%,CBG 1%,Hungry,Caryophyllene
1161,Chem Berry Diesel,Hybrid,NA,4.9,9,THC 18%,CBD 0%,Happy,Limonene
1162,The Lime,Hybrid,NA,5.0,6,THC 18%,CBD 0%,Tingly,Terpinolene
1163,Sour Papaya,Hybrid,NA,4.4,22,THC —,CBD —,Happy,
1164,Strawpicanna,Hybrid,NA,4.6,17,THC 22%,CBG 1%,Focused,Caryophyllene
1165,Project 4510,Hybrid,NA,5.0,2,THC 18%,CBG 1%,Aroused,Limonene
1166,Sour Power,Hybrid,NA,4.6,60,THC 19%,CBD 0%,Talkative,Limonene
1167,Grape God Bud,Hybrid,NA,4.9,7,THC 14%,CBG 1%,Giggly,Terpinolene
1168,Lemon Sour Diesel,Hybrid,NA,4.5,29,THC 16%,CBG 1%,Energetic,Terpinolene
1169,Sour Cake,Hybrid,NA,4.3,4,THC 12%,CBD 0%,Talkative,Pinene
1170,Y Life,Hybrid,NA,4.3,3,THC —,CBD —,Uplifted,
1171,Kali 47,Sativa,aka Cali 47,4.9,10,THC 22%,CBG 1%,Energetic,Myrcene
1172,Blackberry Pie,Hybrid,NA,4.5,21,THC 25%,CBG 1%,Hungry,Myrcene
1173,Dough Lato,Hybrid,NA,4.8,13,THC 25%,CBG 2%,Sleepy,Caryophyllene
1174,Green Lantern,Sativa,NA,4.6,54,THC 20%,CBG 1%,Talkative,Caryophyllene
1175,Blue Moonshine,Indica,aka Blue Moon,4.1,96,THC 12%,CBG 1%,Sleepy,Caryophyllene
1176,Dreamcatcher,Hybrid,NA,4.5,53,THC —,CBD —,Sleepy,
1177,Biochem,Indica,NA,4.6,54,THC 23%,CBG 1%,Sleepy,Myrcene
1178,Galactic Gas,Hybrid,NA,4.6,19,THC —,CBD —,Euphoric,
1179,Galactic Glue,Hybrid,NA,4.2,11,THC 16%,CBD 0%,Aroused,Pinene
1180,Skunk Haze,Hybrid,aka Skunk Haze CBD,4.0,82,THC 13%,CBG 1%,Focused,Myrcene
1181,Dutch Haze,Sativa,NA,4.4,16,THC 19%,CBG 1%,Energetic,Terpinolene
1182,Granny Mac,Sativa,NA,4.1,12,THC 22%,CBD —,Energetic,
1183,Green Ribbon,Hybrid,NA,4.1,169,THC 18%,CBD 0%,Energetic,Myrcene
1184,Gorilla Bomb,Hybrid,NA,3.8,9,THC 20%,CBG 1%,Focused,Pinene
1185,Sour Kosher,Hybrid,NA,4.5,28,THC 21%,CBG 1%,Uplifted,Limonene
