Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Blue-Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Blueberry,Sweet,Flowery","Daughter of a Blueberry indica and the original Haze, this slightly sativa-dominant hybrid is a versatile strain. It has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. Blue Haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects.",,,,,,0.0,0.009,0.022,0.004,0.002,0.0,0.0,0.04,0.0,0.003,0.074,0.116,0.483,0.0,0.319,1.056,,0.174,0.1,0.0,0.0,,10.15,0.0,8.48,0.0,0.2,0.0,0.0,0.0,0.0,0.07,0.03,0.11,
Blue-Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Blueberry,Earthy,Berry","The fusion of Blueberry and Northern Lights, Blue Lights is an indica strain with a noteworthy THC content. This flower emits a blueberry pungency thanks to the Blueberry influence, and provides a combination of sedative and euphoric long-lasting effects. Although fitting for day or nighttime use, this strain may be the perfect choice for end of the day stress and/or pain relief.",,,,,,0.0,0.007,0.007,0.0,0.0,0.0,0.003,0.052,0.0,0.005,0.036,0.097,0.279,0.0,0.262,0.615,,0.136,0.126,0.0,0.0,,0.49,0.0,19.69,0.0,0.0,0.05,0.0,0.0,0.0,0.48,0.04,0.0,
Blue-Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric","Berry,Sweet,Flowery","Blue Zkittlez by Dying Breed Seeds is an indica-dominant cross of Blue Diamond and Zkittlez. This odoriferous flower offers a terpene profile of tart citrus, sweet earth, and wildflowers. The physical effects of this strain are mellow and moderately sedating, igniting appetite while weighing on the limbs. Its strong physical effects and uplifting mental high make it a perfect end-of-the-day strain and a nice match for folks contending with stress, restlessness, and pain.",,,,,,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.028,0.0,0.0,0.0,0.016,0.276,0.0,0.044,0.567,,0.108,0.037,0.0,0.0,,0.26,0.11,12.49,0.01,0.0,0.08,0.0,0.0,0.0,0.18,0.03,0.0,
Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet","A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best Indica. The long history of the strain is traced back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many medical patients appreciate Blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content. ",,,,,,0.0,0.006,0.15,0.005,0.003,0.096,0.0,0.153,0.022,0.036,0.204,0.329,0.42,0.0,0.904,0.45,,0.239,0.214,0.003,0.0,,2.32,0.0,72.18,0.0,0.0,0.18,0.0,0.0,0.0,2.24,0.14,0.0,
Blueberry-Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly","Blueberry,Sweet,Cheese","With a smell distinctly of blueberry cheesecake, this strain was bred from Blueberry and Cheese. Flowers are known to be lime green and dark violet in color with orange hairs and a large coat of crystals. ",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.106,0.037,0.0,0.379,0.1,,0.06,0.32,0.0,0.0,,1.29,0.0,18.55,0.0,0.0,0.03,0.0,0.0,0.01,0.31,0.07,0.0,
Blueberry-Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused","Sweet,Flowery,Pine","From Leafs by Snoop, Blueberry Dream is a sativa strain with undisclosed genetics. Likely similar to the famous Blue Dream hybrid, Blueberry Dream is said to bring out your creativity while giving the mood a boost, all with the sweet flavor of ripe blueberries. With a typical THC content of about 14%, Blueberry Dream is a good choice for beginners looking for a less jarring psychoactive experience.",,,,,,0.0,0.007,0.024,0.003,0.0,0.0,0.0,0.047,0.0,0.0,0.075,0.113,0.386,0.0,0.307,0.926,,0.158,0.087,0.0,0.0,,7.74,0.0,10.22,0.0,0.11,0.08,0.0,0.0,0.0,0.16,0.07,0.09,
Blueberry-Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet","Blueberry Kush is a strong indica strain that slowly brings on a heavy body sensation, helping patients forget their pain and relax. Originally from Oregon, this strain is a hybrid of Blueberry and OG Kush, which is evident in its fresh berry aroma with notes of earthy herbalness. This indica is best for evenings or before bed.",,,,,,0.0,0.017,0.005,0.0,0.0,0.014,0.0,0.062,0.0,0.007,0.05,0.064,0.926,0.0,0.177,0.57,,0.364,0.239,0.0,0.0,,0.35,0.0,23.27,0.0,0.0,0.06,0.0,0.0,0.0,0.27,0.06,0.0,
Blueberry-Pie,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Earthy,Berry","Blueberry Pie is the indica-dominant hybrid of two famous strains, Girl Scout Cookies and Blue Dream. Each strain in this potent cross has its own claim to fame, but when combined their unique attributes coalesce to form a strain greater than the sum of its parts. The blueberry flavor and mental haze of Blue Dream contributes to the stilted cerebral buzz, which is then anchored through the Kush-heavy effects of Girl Scout Cookies, amounting to a strain that shrugs off stress and mutes mild physical discomfort.  ",,,,,,0.0,0.014,0.003,0.0,0.002,0.0,0.0,0.25,0.002,0.015,0.0,0.104,0.057,0.0,0.366,0.08,,0.1,0.654,0.0,0.0,,1.28,0.0,24.1,0.0,0.0,0.02,0.0,0.0,0.0,0.64,0.09,0.0,
Brain-Candy,hybrid,5.0,Creative,Sweet,"Brain Candy by Insanity Strains is a handy hybrid to help get things done. It’s a balanced cross of The Loops, White Widow, and Northern Lights. The onset of this strain is heady and alert, offering positive and motivational energy. These uplifting effects settle down into the body over time and eventually lead to couch-lock with continued consumption. Brain Candy’s arc of effects make it a helpful companion for consumers combating depression and stress.  ",,,,,,0.003,0.0,0.062,0.007,0.001,0.0,0.0,0.239,0.012,0.069,0.14,0.31,0.036,0.0,0.842,0.179,,0.028,0.028,0.004,0.0,,4.08,0.0,77.17,0.0,0.0,0.18,0.0,0.0,0.0,1.21,0.45,0.13,
Bubba-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Woody","Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since. ",,,,,,0.0,0.012,0.013,0.0,0.002,0.127,0.0,0.012,0.001,0.011,0.118,0.145,0.05,0.0,0.446,0.182,,0.083,0.567,0.002,0.0,,0.46,0.0,17.75,0.03,0.0,0.06,0.0,0.0,0.0,0.37,0.09,0.0,
Bubble-Gum,hybrid,4.1,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Sweet,Flowery,Berry","Originally Bubble Gum was developed by growers in Indiana. From there the genetics moved to New England and eventually Holland. It took many generations to finally produce a stable Bubble Gum with the characteristic sweet smell and euphoric high. Bubble Gum was the winner of two awards in the Cannabis Cup of '94, and the 2nd place winner in '95 and again in '99.",,,,,,0.0,0.007,0.01,0.003,0.0,0.068,0.0,0.022,0.0,0.0,0.035,0.064,0.334,0.0,0.153,1.094,,0.164,0.107,0.0,0.0,,0.5,0.0,16.67,0.0,0.0,0.06,0.0,0.0,0.0,0.52,0.06,0.0,
Burmese-Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Pungent","This hybrid strain is almost half sativa and tends to give users a calm, mellow outlook. Bred by T.H. Seeds as a cross that includes the California classic, OG Kush, this plant will be dark green and have a piney aroma with a sweet aftertaste. Growth can be slow to start so Burmese Kush is best for indoor conditions where growth speeds up and plants flower in 7-8 weeks. The effects also tend to come on slowly but can be strong and long-lasting once they do.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.038,0.155,0.03,0.0,0.554,0.317,,0.058,0.383,0.0,0.0,,2.02,0.0,26.35,0.0,0.0,0.03,0.0,0.0,0.0,0.82,0.09,0.0,
Butter-Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Butter,Sweet,Pungent","While there is not much information available on the origins of Butter OG, it is generally thought to be an indica-dominant strain as it gives consumers a very relaxing, giggly high that gradually fades to sleepiness. Its dense, sparkly buds give off a fruity scent with slight undertones of ammonia. The smoke is very light and smooth, with sweet flavors on the inhale and, like its name suggests, a buttery aftertaste. Butter OG is potentially beneficial for treating pain, anxiety, depression, and insomnia.",,,,,,0.0,0.017,0.008,0.0,0.014,0.003,0.0,0.153,0.001,0.015,0.044,0.112,0.066,0.0,0.358,0.717,,0.124,0.534,0.0,0.0,,0.52,0.0,23.47,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.12,0.0,
Cbd-Critical-Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Earthy,Pungent,Menthol","CBD Critical Mass by Dinafem Seeds is a breeding collaboration in search of truly medicinal properties. According to Dinafem, this strain came out of a genetic mashup between the in-house Critical Mass and an undisclosed strain from CBD Crew. CBD Critical Mass has a 1:1 CBD/THC ratio and generally more pronounced indica-dominant effects. This genetic cross is known to yield an abundant harvest, but plan on supporting the plant’s vigorous growth before flowering. Dinafem recommends utilizing this strain for anorexia, insomnia, muscle pain, and depression.    ",,,,,,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.009,0.0,0.0,0.026,0.01,0.0,0.0,0.029,0.03,,0.0,0.013,0.0,0.0,,1.07,0.0,4.61,0.0,0.0,8.57,0.76,0.0,0.0,0.32,0.09,0.04,
Cadillac-Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Earthy,Grape","Cadillac Purple is a heavy indica strain that is popular among users seeking true body relaxation and pain relief without the spacey cerebral effects common to more sativa-heavy hybrids. Depending on tolerance, this strain can be a bit of a “creeper,” but when its effects do hit, they tend to be calming, body-soothing, and may lead to some restful sleep. Buds are deep greens with plenty of purple, making for some very pretty flowers. The aroma, too, is pleasant – mild and like a sweet perfume.",,,,,,0.0,0.004,0.006,0.0,0.0,0.0,0.0,0.068,0.077,0.0,0.025,0.069,0.3,0.0,0.27,0.656,,0.065,0.02,0.0,0.0,,0.42,0.0,19.42,0.0,0.0,0.04,0.0,0.0,0.02,0.23,0.08,0.0,
Cali-Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Earthy,Pine,Skunk","This indica-dominant California strain will have you thinking about taking a hike in the woods with its clean, green grass smell that has hints of herbs. The potent smell is actually the first thing many users notice about Cali Gold and the taste pulls in notes of citrus, bringing to mind lemongrass. This strain is a cross between Jah OG Kush and DS Gold. The plants also look impressive, with bulky, crystalline buds. Effects tend to be body relaxing but not completely sedative, so that hike may just be a possibility.",,,,,,0.0,0.013,0.007,0.0,0.006,0.0,0.0,0.111,0.0,0.003,0.035,0.068,0.045,0.0,0.224,0.237,,0.08,0.315,0.0,0.0,,1.6,0.0,17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,
Calyx-Og,hybrid,0.0,,,"Calyx OG (also known as Calyx OG #3) is a balanced 50/50 hybrid from Calyx Garden. This strain was bred by crossing Platinum Calyx with True OG, creating a dense flower with a pungent aroma. The terpene profile of Calyx OG is a mixture of citrus and earthy aromas. It offers up over 1% in limonene, nearly half a percent in pinene and humulene, and almost a full percent of caryophyllene. This harmony of terpenes and upwards of 27% THC make for a potent flower in both effect and aroma. Calyx OG has a 60-day flowering cycle and happens to be one of Calyx Garden’s highest yielding strains.  ",,,,,,0.0,0.018,0.01,0.0,0.002,0.0,0.002,0.195,0.002,0.019,0.008,0.192,0.06,0.0,0.444,0.384,,0.121,0.639,0.0,0.0,,0.38,0.0,22.01,0.0,0.0,0.05,0.0,0.0,0.0,0.57,0.11,0.0,
Candy-Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused","Skunk,Citrus,Pungent","Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack’s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack’s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world. ",,,,,,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.073,0.571,0.0,0.088,0.057,0.011,0.217,0.082,,0.079,0.097,0.0,0.0,,0.86,0.0,22.36,0.0,0.0,0.07,0.0,0.0,0.0,1.12,0.16,0.0,
Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery","Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland to relieve pain, muscle tension, and sour moods. Strong sativa genetics give Candyland uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.",,,,,,0.0,0.007,0.15,0.0,0.0,0.045,0.0,0.142,0.026,0.016,0.185,0.255,0.164,0.0,0.833,0.249,,0.128,0.235,0.0,0.0,,1.71,0.02,77.23,0.0,0.0,0.18,0.0,0.0,0.0,2.83,0.25,0.04,
Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet","Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor. ",,,,,,0.0,0.003,0.005,0.001,0.001,0.05,0.0,0.065,0.0,0.005,0.035,0.048,0.142,0.0,0.166,0.818,,0.06,0.104,0.002,0.0,,1.02,0.0,6.29,0.0,0.0,16.86,0.7,0.0,0.04,0.63,0.19,0.07,
Captain-America-Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy","Diesel,Berry,Orange","Captain America OG is a sativa-leaning OG cut with uplifting euphoria and a bright citrus flavor. Relieving anxiety without the debilitating weight of heavier OG crosses, call on “The Captain” for relief of stress as well as nausea, mild physical pain, and muscle spasms. This strain’s moderate body effects and complementary euphoria make it ideal for use any time of the day with mindful dosage.  ",,,,,,0.0,0.014,0.01,0.0,0.011,0.0,0.0,0.216,0.0,0.019,0.027,0.099,0.051,0.0,0.322,0.559,,0.105,0.575,0.0,0.0,,1.12,0.0,21.82,0.0,0.0,0.03,0.0,0.0,0.0,0.63,0.11,0.02,
Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative","Sweet,Coffee,Vanilla","The breeders at Delicious Seeds continue to live up to their name with this flavorful 70/30 sativa-dominant hybrid they call Caramelo. Caramelo is derived from the Lavender family, inheriting that signature floral aroma with accents of sweet and spicy fruit. Though made famous by its complex terpene profile, consumers also appreciate Caramelo for its lightweight uplifting effects that promote energy alongside potent symptom relief.",,,,,,0.0,0.011,0.013,0.0,0.003,0.106,0.0,0.155,0.004,0.006,0.116,0.131,0.132,0.0,0.434,0.301,,0.107,0.457,0.0,0.0,,2.74,0.0,18.19,0.0,0.0,0.12,0.0,0.0,0.0,0.5,0.11,0.0,
Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Cheese,Earthy,Pungent","Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting hybrid is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind.",,,,,,0.0,0.164,0.156,0.129,0.019,0.008,0.0,2.276,0.027,0.186,0.02,4.755,0.607,0.016,12.064,1.894,,1.123,7.745,0.035,0.0,,,,,,,,,,,,,,
Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Lavender,Sweet,Citrus","Chem D.O.G., not to be confused with Chemdawg, is a potent Chemdawg and OG Kush cross that harnesses the best qualities of either strain. With an expansive terpene profile that includes limonene, caryophyllene, and myrcene, this strain has a spiced citrus nose with touches of chemical and earth. This bouquet of aromas illustrates the complex effects nestled below Chem D.O.G.’s frosty greenery, which offer soothing physical relaxation after a powerful rush brought on by the strain’s high THC content.",,,,,,0.0,0.011,0.008,0.0,0.007,0.019,0.004,0.003,0.002,0.006,0.128,0.336,0.038,0.0,0.842,0.445,,0.077,0.497,0.0,0.0,,1.32,0.0,19.4,0.0,0.0,0.05,0.0,0.0,0.0,0.24,0.08,0.03,
